text,teks_bersih,teks_normal,teks_stopwords,teks_stemmed,teks_terjemah
anjayyy akhirnya setelah 7 purnama bang windah main game iniii😀😀,anjayyy akhirnya setelah purnama bang windah main game iniii,anjayyy akhirnya setelah purnama bang windah main game ini,anjayyy purnama bang windah main game,anjayyy purnama bang windah main game,Anjayyy Purma Bang Windah plays games
Fans cewek kesenengan,fans cewek kesenengan,fans cewek kesenengan,fans cewek kesenengan,fans cewek neng,"female fans, bro"
Bang rafayel imut dan pacarku,bang rafayel imut dan pacarku,bang rafayel imut dan pacarku,bang rafayel imut pacarku,bang rafayel imut pacar,Bang Rafayel is a cute girlfriend
Pleaseee lanjutttt banggg,pleaseee lanjutttt banggg,pleaseee lanjutttt banggg,pleaseee lanjutttt banggg,pleaseee lanjutttt banggg,please continue bro
DONGHUA,donghua,donghua,donghua,donghua,donghua
"Respect to bang Windah, melanjutkan hal yg sudah dimulai",respect to bang windah melanjutkan hal yg sudah dimulai,respect to bang windah melanjutkan hal yang sudah dimulai,respect to bang windah melanjutkan,respect to bang windah lanjut,respect to bang windah continue
KOCAKK MALAH SALTING,kocakk malah salting,kocakk malah salting,kocakk salting,kocakk salting,salting is hilarious
ini gim apa bang,ini gim apa bang,ini gim apa bang,gim bang,gim bang,game bro
"makasih bang windah udah mainin game ini, iloyvu bang❤",makasih bang windah udah mainin game ini iloyvu bang,makasih bang windah sudah mainin game ini iloyvu bang,makasih bang windah mainin game iloyvu bang,makasih bang windah mainin game iloyvu bang,"Thank you, bro, for playing the Iloyvu game, bro"
"Bang coba main my child lebensborn dong, game story simple tapi bikin terharu",bang coba main my child lebensborn dong game story simple tapi bikin terharu,bang coba main my child lebensborn dong game story simple tapi bikin terharu,bang coba main my child lebensborn game story simple bikin terharu,bang coba main my child lebensborn game story simple bikin haru,"Bro, try playing My Child Lebensborn, the simple story game will make you emotional"
3:00:00,,,,,
19:38 ni cewek manis bgt jir tipe gw 😁🥰 langsung suka wkwkwk,ni cewek manis bgt jir tipe gw langsung suka wkwkwk,ni cewek manis banget jir tipe gw langsung suka tertawa,ni cewek manis banget jir tipe gw langsung suka tertawa,ni cewek manis banget jir tipe gw langsung suka tertawa,"This is a really sweet girl, my type just loves to laugh"
Gk jelas,gk jelas,gk jelas,gk,gk,No
Gass min bggg 😁,gass min bggg,gass min bggg,gass min bggg,gass min bggg,gass ​​min bggg
gw cowok dan gw adalah sylus 😈😈,gw cowok dan gw adalah sylus,gw cowok dan gw adalah sylus,gw cowok gw sylus,gw cowok gw sylus,"I'm a guy, I'm Sylus"
"Terimakasih bang windah udah main game ini, udah banyak halangannya dari kemarin dan tpp usaha buat main😢 We all love yuuu",terimakasih bang windah udah main game ini udah banyak halangannya dari kemarin dan tpp usaha buat main we all love yuuu,terimakasih bang windah sudah main game ini sudah banyak halangannya dari kemarin dan tpp usaha buat main we all love yuuu,terimakasih bang windah main game halangannya kemarin tpp usaha main we all love yuuu,terimakasih bang windah main game halang kemarin tpp usaha main we all love yuuu,"Thank you bro, Windah played the Halang game yesterday but tried to play, we all love Yuuu"
"thank you soo much bang windah❤
selamat buat cowo cowo yang yang gak respect ke kita, bang windah prove that he's bijaksana dan respect ke viewers cewe, we love youu bang windah ! aku seneng banget ga salah support orang selama ini❤",thank you soo much bang windah selamat buat cowo cowo yang yang gak respect ke kita bang windah prove that hes bijaksana dan respect ke viewers cewe we love youu bang windah aku seneng banget ga salah support orang selama ini,thank you soo much bang windah selamat buat cowo cowo yang yang gak respect ke kita bang windah prove that hes bijaksana dan respect ke viewers cewe we love youu bang windah aku seneng banget ga salah support orang selama ini,thank you soo much bang windah selamat cowo cowo gak respect bang windah prove that hes bijaksana respect viewers cewe we love youu bang windah seneng banget ga salah support orang,thank you soo much bang windah selamat cowo cowo gak respect bang windah prove that hes bijaksana respect viewers cewe we love youu bang windah neng banget ga salah support orang,thank you so much bro Windah congratulations guys guys don't respect bro Windah prove that he's wise respect female viewers we love you bro windah neng it's really not wrong to support people
"Nontonin vidio bang windah ❌
Nontonin live chat ☠️",nontonin vidio bang windah nontonin live chat,nontonin vidio bang windah nontonin live chat,nontonin vidio bang windah nontonin live chat,nontonin vidio bang windah nontonin live chat,"Watch the video, Bang Windah, watch the live chat"
aku suka sayne,aku suka sayne,aku suka sayne,suka sayne,suka sayne,"I like it, Sayne"
Seruuu,seruuu,seruuu,seruuu,seruuu,it's fun
Bjir komentar cowok tenggelam,bjir komentar cowok tenggelam,bjir komentar cowok tenggelam,bjir komentar cowok tenggelam,bjir komentar cowok tenggelam,the flood of male comments is drowning
"terimakasihh banyakk bangg windaah, udah mainin inii❤❤",terimakasihh banyakk bangg windaah udah mainin inii,terimakasihh banyakk bangg windaah sudah mainin inii,terimakasihh banyakk bangg windaah mainin inii,terimakasihh banyakk bangg windaah mainin ini,"Thank you very much, I'm proud to play this"
Giliran game ginian dimainin 3 jam tapi giliran roblox sejam aja ga nyampe😢,giliran game ginian dimainin jam tapi giliran roblox sejam aja ga nyampe,giliran game ginian dimainin jam tapi giliran roblox sejam saja ga nyampe,giliran game ginian dimainin jam giliran roblox sejam ga nyampe,gilir game ginian dimainin jam gilir roblox jam ga nyampe,"When you play this game, it's time to play Roblox when it doesn't arrive"
Semangat bang,semangat bang,semangat bang,semangat bang,semangat bang,cheer up bro
"telat nonton, tapi bakal ku rewatch. btw makasih ya bang udh main game nya, semoga harimu menyenangkan (⁠・⁠o⁠・⁠)",telat nonton tapi bakal ku rewatch btw makasih ya bang udh main game nya semoga harimu menyenangkan o,telat nonton tapi bakal ku rewatch by the way makasih ya bang udh main game nya semoga harimu menyenangkan o,telat nonton ku rewatch by the way makasih ya bang udh main game nya semoga harimu menyenangkan o,telat nonton ku rewatch by the way makasih ya bang udh main game nya moga hari senang o,"I was late watching, I rewatched it by the way, thank you bro for playing the game, have a happy day o"
THANK YOU BANG WINDAH SUDAH MEMAINKAN GAME INI🥰🥰🥰🥰,thank you bang windah sudah memainkan game ini,thank you bang windah sudah memainkan game ini,thank you bang windah memainkan game,thank you bang windah main game,"Thank you bro, Windah for playing the game"
"30:20 56:00 salting
48:40 di telpon
2:24:00 tatapan",salting di telpon tatapan,salting di telpon tatapan,salting telpon tatapan,salting telpon tatap,salting the phone face to face
Etdah yang komen cewe semua,etdah yang komen cewe semua,etdah yang komen cewe semua,etdah komen cewe,etdah komen cewe,"OK, girl's comment"
Makasi bang windows🎉,makasi bang windows,makasi bang windows,makasi bang windows,makas bang windows,Thanks bro Windows
Percaya lah pembuat game anime mukanya bapak bapak,percaya lah pembuat game anime mukanya bapak bapak,percaya lah pembuat game anime mukanya bapak bapak,percaya pembuat game anime mukanya,percaya buat game anime muka,believe in making advance anime games
Thank you bangg,thank you bangg,thank you bangg,thank you bangg,thank you bangg,thank you bro
"GG walau windah cowok tetapi windah tetep menghibur para cewek





Edit: dipin windah cuyyyy",gg walau windah cowok tetapi windah tetep menghibur para cewek edit dipin windah cuyyyy,gg walau windah cowok tetapi windah tetep menghibur para cewek edit dipin windah cuyyyy,gg windah cowok windah tetep menghibur cewek edit dipin windah cuyyyy,gg windah cowok windah tetep hibur cewek edit pin windah cuyyyy,gg windah guy windah still entertain girls edit pin windah cuyyyy
"Finally bang, setelah retake video berkali2",finally bang setelah retake video berkali,finally bang setelah retake video berkali,finally bang retake video berkali,finally bang retake video kali,"finally bro, retake the video"
"yang rambut putih mirip noctis final fantasy, siapa namanya ganjar",yang rambut putih mirip noctis final fantasy siapa namanya ganjar,yang rambut putih mirip noctis final fantasy siapa namanya ganjar,rambut putih noctis final fantasy namanya ganjar,rambut putih noctis final fantasy nama ganjar,Noctis' white hair final fantasy name Ganjar
makanya jan pada rusuhin bg windah main,makanya jan pada rusuhin bg windah main,makanya jan pada rusuhin bang windah main,jan rusuhin bang windah main,jan rusuhin bang windah main,"Don't make a mess, Bang Windah plays"
 @catheesyy  kg jir,catheesyy kg jir,catheesyy kg jir,catheesyy kg jir,catheesyy kg jir,catheesyy kg jir
Sylus,sylus,sylus,sylus,sylus,sylus
lanjut homiciper la bg,lanjut homiciper la bg,lanjut homiciper la bang,homiciper la bang,homiciper la bang,homiciper la bro
THANK YOU bg windahh udah main ini gamee terus review positif buat game ini RESPECT BUAT BG WINDAHHH  💗,thank you bg windahh udah main ini gamee terus review positif buat game ini respect buat bg windahhh,thank you bang windahh sudah main ini gamee terus review positif buat game ini respect buat bang windahhh,thank you bang windahh main gamee review positif game respect bang windahhh,thank you bang windahh main gamee review positif game respect bang windahhh,thank you bro windahh playing the game positive review of the game respect bro windahh
lanjut part 2 banggg,lanjut part banggg,lanjut part banggg,part banggg,part banggg,part banggg
BANGGG MAKASIH IA DAH MAININ GAME INIIII❤❤❤❤❤,banggg makasih ia dah mainin game iniiii,banggg makasih ia dah mainin game iniiii,banggg makasih dah mainin game iniiii,banggg makasih dah mainin game iniiii,thanks for playing this game
"Bang ajak kak Agnes dong, biar kita bisa liat reaksi cewek kek gmn 😂😂, penasaran banget kl cewek Indo ngeliat beginian",bang ajak kak agnes dong biar kita bisa liat reaksi cewek kek gmn penasaran banget kl cewek indo ngeliat beginian,bang ajak kak agnes dong biar kita bisa liat reaksi cewek seperti gmn penasaran banget kl cewek indo ngeliat beginian,bang ajak kak agnes biar liat reaksi cewek gmn penasaran banget kl cewek indo ngeliat,bang ajak kak agnes biar liat reaksi cewek gmn penasaran banget kl cewek indo ngeliat,"Bro, invite Sis Agnes to see the girl's reaction. I'm really curious about the Indonesian girl watching"
Itu murah karena biar kamu beli bang🥲,itu murah karena biar kamu beli bang,itu murah karena biar kamu beli bang,murah biar beli bang,murah biar beli bang,cheap to buy bro
AKHIRNYA ILHAM DI CUEKIN🗿,akhirnya ilham di cuekin,akhirnya ilham di cuekin,ilham cuekin,ilham cuekin,cool inspiration
finallyyyy!!! thankyouu bang windah 🤟,finallyyyy thankyouu bang windah,finallyyyy thankyouu bang windah,finallyyyy thankyouu bang windah,finallyyyy thankyouu bang windah,finallyyyy thankyou bro windah
wkwk dari sini viewers cewek bg windah keliatan smua di live chat,wkwk dari sini viewers cewek bg windah keliatan smua di live chat,tertawa dari sini viewers cewek bang windah keliatan smua di live chat,tertawa viewers cewek bang windah keliatan smua live chat,tertawa viewers cewek bang windah liat smua live chat,"Laughing, female viewers, Bang Windah, saw all the live chat"
main last wargh bang,main last wargh bang,main last wargh bang,main last wargh bang,main last wargh bang,Play last war bro
thank u bang udah mainin game iniiii🫶🏻,thank u bang udah mainin game iniiii,thank u bang sudah mainin game iniiii,thank u bang mainin game iniiii,thank u bang mainin game iniiii,thank you bro for playing this game
"Main lgi bang, kli mau ganti efek skill nya ya harus dptin Card pair/Card solar nya baru bisa ganti efek skill, sering² main dong bang😢😢",main lgi bang kli mau ganti efek skill nya ya harus dptin card paircard solar nya baru bisa ganti efek skill sering main dong bang,main lgi bang kli mau ganti efek skill nya ya harus dptin card paircard solar nya baru bisa ganti efek skill sering main dong bang,main lgi bang kli ganti efek skill nya ya dptin card paircard solar nya ganti efek skill main bang,main lgi bang kli ganti efek skill nya ya dptin card paircard solar nya ganti efek skill main bang,"Play again, bro, when you change the skill effect, you get a Paircard Solar card, which changes the playing skill effect, bro"
"2:58:28 bang makasih bgt, dengan lu bilang gini kemungkinan besar cowo cowo aneh yg kemarin hate mungkin jd paham atau ngga lu udah negesin ke mereka ❤‍🩹",bang makasih bgt dengan lu bilang gini kemungkinan besar cowo cowo aneh yg kemarin hate mungkin jd paham atau ngga lu udah negesin ke mereka,bang makasih banget dengan lu bilang gini kemungkinan besar cowo cowo aneh yang kemarin hate mungkin jd paham atau ngga lu sudah negesin ke mereka,bang makasih banget lu bilang gini cowo cowo aneh kemarin hate jd paham ngga lu negesin,bang makasih banget lu bilang gin cowo cowo aneh kemarin hate jd paham ngga lu negesin,"Bro, thank you very much for saying that yesterday, strange guys, guys hated it, so I understand, didn't you ignore it?"
Ternyata gamenya biasa aja kalo yg nonton laki laki ya. Emang dibuat untuk cewe ni,ternyata gamenya biasa aja kalo yg nonton laki laki ya emang dibuat untuk cewe ni,ternyata gamenya biasa saja kalo yang nonton laki laki ya emang dibuat untuk cewe ni,gamenya kalo nonton laki laki ya emang cewe ni,gamenya kalo nonton laki laki ya emang cewe ni,"If you watch the game, it's really a girl's game"
"Vidio ini di kusus kan untuk cewe ya, cowo kalo mau nonton terserah 👍",vidio ini di kusus kan untuk cewe ya cowo kalo mau nonton terserah,vidio ini di kusus kan untuk cewe ya cowo kalo mau nonton terserah,vidio kusus cewe ya cowo kalo nonton terserah,vidio sus cewe ya cowo kalo nonton serah,"Sus video, girls, guys, if you watch it, it's up to you"
OMG YASSHHH GO BANG WINDAH PECINTA ZAAYNEE,omg yasshhh go bang windah pecinta zaaynee,omg yasshhh go bang windah pecinta zaaynee,omg yasshhh go bang windah pecinta zaaynee,omg yasshhh go bang windah cinta zaaynee,omg yessshhh go bang windah love zaaynee
"YEYY OMG GA DI HAPUSS, MAKASIH BANYAK YAA BANG 🫶🏻🫶🏻🫶🏻",yeyy omg ga di hapuss makasih banyak yaa bang,yeyy omg ga di hapuss makasih banyak yaa bang,yeyy omg ga hapuss makasih yaa bang,yeyy omg ga hapuss makasih yaa bang,"yeah, omg it didn't delete, thanks bro"
2:41:05 mirip rafayel bang,mirip rafayel bang,mirip rafayel bang,rafayel bang,rafayel bang,Rafayel bro
BANG GW SUKA BGTTTT BENERAN REVIEW INII… AS I EXPECT SIH PASTI BANG WINDAH REVIEWNYA GA ANEH ANEH!!! AAAK HAPPY BGTTTTT AKU SHIP BANG WINDAH SAMA SYLUS DAN ZAYNE WKWKWKWWK,bang gw suka bgtttt beneran review inii as i expect sih pasti bang windah reviewnya ga aneh aneh aaak happy bgttttt aku ship bang windah sama sylus dan zayne wkwkwkwwk,bang gw suka bgtttt beneran review inii as i expect sih pasti bang windah reviewnya ga aneh aneh aaak happy banget aku ship bang windah sama sylus dan zayne wkwkwkwwk,bang gw suka bgtttt beneran review inii as i expect sih bang windah reviewnya ga aneh aneh aaak happy banget ship bang windah sylus zayne wkwkwkwwk,bang gw suka bgtttt beneran review ini as i expect sih bang windah reviewnya ga aneh aneh aaak happy banget ship bang windah sylus zayne wkwkwkwwk,"Bro, I really like it, this review is as I expected, bro, Windah, the review isn't weird, I'm really happy to ship, Bro, Windah, Sylus Zayne, hahaha"
"bang aku ga maksa, aku mau request game yg anter2 kaca itu dong bang,  klo bang windah ga keberatan  :)) tapi kyanya 2 orang deh bang klo main itu :))",bang aku ga maksa aku mau request game yg anter kaca itu dong bang klo bang windah ga keberatan tapi kyanya orang deh bang klo main itu,bang aku ga maksa aku mau request game yang anter kaca itu dong bang klo bang windah ga keberatan tapi kyanya orang deh bang klo main itu,bang ga maksa request game anter kaca bang klo bang windah ga keberatan kyanya orang deh bang klo main,bang ga maksa request game anter kaca bang klo bang windah ga berat kyanya orang deh bang klo main,"Bro, you don't force requests for the glass delivery game, bro. If you play, Bang Windah, it's not that hard, bro."
"dikulum dikunyah
selamat pagi semuanyahhh",dikulum dikunyah selamat pagi semuanyahhh,dikulum dikunyah selamat pagi semuanyahhh,dikulum dikunyah selamat pagi semuanyahhh,kulum kunyah selamat pagi semuanyahhh,I'm chewing good morning everyone
makasih bang udah mau main game ini ❤❤❤,makasih bang udah mau main game ini,makasih bang sudah mau main game ini,makasih bang main game,makasih bang main game,thanks bro for playing the game
Makasih bang udh mainin game ini,makasih bang udh mainin game ini,makasih bang udh mainin game ini,makasih bang udh mainin game,makasih bang udh mainin game,Thank you bro for playing the game
"ubur ubur ikan lele, ketiduran leee",ubur ubur ikan lele ketiduran leee,ubur ubur ikan lele ketiduran leee,ubur ubur ikan lele ketiduran leee,ubur ubur ikan lele tidur leee,jellyfish catfish sleep leee
yu bisa yu trending 1!!❤❤,yu bisa yu trending,yu bisa yu trending,yu yu trending,yu yu trending,yu yu trending
Yang ngerti tolong jelasin doooong ini tuh story nya ini aja atau gimanaa deh??,yang ngerti tolong jelasin doooong ini tuh story nya ini aja atau gimanaa deh,yang ngerti tolong jelasin doooong ini tuh story nya ini saja atau gimanaa deh,ngerti tolong jelasin doooong tuh story nya gimanaa deh,ngerti tolong jelasin doooong tuh story nya gimanaa deh,"understand, please explain what the story is like"
"gw sebagai cwo, bangga ama bng windah yg mental ny kuat menahan bacotan dari wrga x + cwo insikur😂",gw sebagai cwo bangga ama bng windah yg mental ny kuat menahan bacotan dari wrga x cwo insikur,gw sebagai cwo bangga ama bng windah yang mental ny kuat menahan bacotan dari wrga x cwo insikur,gw cwo bangga ama bng windah mental ny kuat menahan bacotan wrga x cwo insikur,gw cwo bangga ama bng windah mental ny kuat tahan bacot wrga x cwo insikur,"I'm proud of Bng Windah, his mental strength is strong enough to withstand being insulted by people x Cwo Insikur"
AYOK GUYS KASI TRENDING NO 1😻🎀🎀🎀,ayok guys kasi trending no,ayok guys kasi trending no,ayok guys kasi trending no,ayok guys kasi trending no,"Come on guys, give me trending no"
Jadi penasaraaaaaan,jadi penasaraaaaaan,jadi penasaraaaaaan,penasaraaaaaan,penasaraaaaaan,curious
next part 2 bang mainnya🙏🏻🙏🏻,next part bang mainnya,next part bang mainnya,next part bang mainnya,next part bang main,next part bro play
Gerakannya kayak epep,gerakannya kayak epep,gerakannya kayak epep,gerakannya kayak epep,gera kayak epep,move like an epep
Bang windah nanti review battle nya Caleb itu ada versi terbaru nya,bang windah nanti review battle nya caleb itu ada versi terbaru nya,bang windah nanti review battle nya caleb itu ada versi terbaru nya,bang windah review battle nya caleb versi terbaru nya,bang windah review battle nya caleb versi baru nya,Bang Windah reviews the new version of Caleb's Battle
thank you udh mainin game ini bang windahh!! my favorite streamer playing my favorite game~ nice!! ❤,thank you udh mainin game ini bang windahh my favorite streamer playing my favorite game nice,thank you udh mainin game ini bang windahh my favorite streamer playing my favorite game nice,thank you udh mainin game bang windahh my favorite streamer playing my favorite game nice,thank you udh mainin game bang windahh my favorite streamer playing my favorite game nice,thank you for playing the game bro windahh my favorite streamer playing my favorite game nice
Lanjutkan aja bg aku nikmatin gameplay nya kok abaikan aja kata-kata bocil caper 😁,lanjutkan aja bg aku nikmatin gameplay nya kok abaikan aja katakata bocil caper,lanjutkan saja bang aku nikmatin gameplay nya kok abaikan saja katakata bocil caper,lanjutkan bang nikmatin gameplay nya abaikan katakata bocil caper,lanjut bang nikmatin gameplay nya abai katakata bocil caper,"Continue, bro, enjoy the gameplay, ignoring the stupid caper words"
Bang plss tamatinn,bang plss tamatinn,bang plss tamatinn,bang plss tamatinn,bang plss tamatinn,"Bro, pls finish"
thank u bang windah❤❤ big respect,thank u bang windah big respect,thank u bang windah big respect,thank u bang windah big respect,thank u bang windah big respect,"thank you bro, windah, big respect"
"di liat liat ternyata semua karakter cwonya persis gw banget bg, bedanya gw lebih dingin sama brutal aja",di liat liat ternyata semua karakter cwonya persis gw banget bg bedanya gw lebih dingin sama brutal aja,di liat liat ternyata semua karakter cwonya persis gw banget bang bedanya gw lebih dingin sama brutal saja,liat liat karakter cwonya persis gw banget bang bedanya gw dingin brutal,liat liat karakter cwonya persis gw banget bang beda gw dingin brutal,"Look at the guy's character, he's exactly like me, bro, he's really different, I'm brutally cold"
Keren gw suka karakter nya semua style nya,keren gw suka karakter nya semua style nya,keren gw suka karakter nya semua style nya,keren gw suka karakter nya style nya,keren gw suka karakter nya style nya,"cool, I like the character's style"
Jadi aneh kalo yang main ini game cowok,jadi aneh kalo yang main ini game cowok,jadi aneh kalo yang main ini game cowok,aneh kalo main game cowok,aneh kalo main game cowok,It's strange to play boys' games
"thank u bang windah, be happy !!",thank u bang windah be happy,thank u bang windah be happy,thank u bang windah be happy,thank u bang windah be happy,"thank you bro, windah be happy"
Kalo ga salah story nya banyak bang,kalo ga salah story nya banyak bang,kalo ga salah story nya banyak bang,kalo ga salah story nya bang,kalo ga salah story nya bang,"If I'm not mistaken, that's the story"
instruktur,instruktur,instruktur,instruktur,instruktur,instructor
Infrastruktur,infrastruktur,infrastruktur,infrastruktur,infrastruktur,infrastructure
​ @WozzGDash  cowok infrastruktur jelek yang hujat 😂,wozzgdash cowok infrastruktur jelek yang hujat,wozzgdash cowok infrastruktur jelek yang hujat,wozzgdash cowok infrastruktur jelek hujat,wozzgdash cowok infrastruktur jelek hujat,wozzgdash bad infrastructure guy blasphemes
Insikur🗿,insikur,insikur,insikur,insikur,insicur
 @RavennCrueL  yg pentinh lo phm bg🗿😌,ravenncruel yg pentinh lo phm bg,ravenncruel yang pentinh lo phm bang,ravenncruel pentinh lo phm bang,ravenncruel pentinh lo phm bang,"ravenncruel is important, bro"
Sesama Leon aku juga bangga,sesama leon aku juga bangga,sesama leon aku juga bangga,leon bangga,leon bangga,Leon is proud
Insecure cuy,insecure cuy,insecure cuy,insecure cuy,insecure cuy,insecure dude
💯💯💯💯💯💯💯,,,,,
😂😂,,,,,
WTH bro😂😂,wth bro,wth bro,wth bro,wth bro,wth bro
Wkwk,wkwk,tertawa,tertawa,tertawa,laugh
Insinyur,insinyur,insinyur,insinyur,insinyur,engineer
Insotoro🗿,insotoro,insotoro,insotoro,insotoro,insotoro
PP lu dapat dari komik mana bang,pp lu dapat dari komik mana bang,pp lu dapat dari komik mana bang,pp lu komik bang,pp lu komik bang,"PP, you're a comic, bro"
Windah uchiha,windah uchiha,windah uchiha,windah uchiha,windah uchiha,Uchiha windah
insinyur,insinyur,insinyur,insinyur,insinyur,engineer
"Biasanya yang insecure tuh cowo bispak terselubung, santuy",biasanya yang insecure tuh cowo bispak terselubung santuy,biasanya yang insecure tuh cowo bispak terselubung santuy,insecure tuh cowo bispak terselubung santuy,insecure tuh cowo bispak selubung santuy,Insecure is a guy who wears a cool cover
lah gua mah ganteng,lah gua mah ganteng,lah gua mah ganteng,gua mah ganteng,gua mah ganteng,I'm handsome
 @ballzoyy  biasanya kalo ada komen begini pasti kebalikannya,ballzoyy biasanya kalo ada komen begini pasti kebalikannya,ballzoyy biasanya kalo ada komen begini pasti kebalikannya,ballzoyy kalo komen kebalikannya,ballzoyy kalo komen balik,ballzoyy if you comment back
​ @ballzoyy  sok ganteng lu cil 😂,ballzoyy sok ganteng lu cil,ballzoyy sok ganteng lu cil,ballzoyy sok ganteng lu cil,ballzoyy sok ganteng lu cil,ballzoyy looks so handsome little you
"keren bg, kalo yutuber itu yg diserang dan digoreng semoga selallu sabar dan tabah",keren bg kalo yutuber itu yg diserang dan digoreng semoga selallu sabar dan tabah,keren bang kalo yutuber itu yang diserang dan digoreng semoga selallu sabar dan tabah,keren bang kalo yutuber diserang digoreng semoga selallu sabar tabah,keren bang kalo yutuber serang goreng moga selallu sabar tabah,"It's cool, if YouTubers attack fries, hopefully they will always be patient and steadfast"
tes,tes,tes,tes,tes,test
"Hei hei cowok yang baca komentar aku, kataku mah mending kalian belajar dari game ini, biar bisa treat cewek kalian, yaaa yaaa? ok 🤗",hei hei cowok yang baca komentar aku kataku mah mending kalian belajar dari game ini biar bisa treat cewek kalian yaaa yaaa ok,hei hei cowok yang baca komentar aku kataku mah mending kalian belajar dari game ini biar bisa treat cewek kalian yaaa yaaa ok,hei hei cowok baca komentar kataku mah mending belajar game biar treat cewek yaaa yaaa ok,hei hei cowok baca komentar kata mah mending ajar game biar treat cewek yaaa yaaa ok,"Hey hey, guys, reading the comments, I said it's better to teach games so I can treat girls, okay?"
Aku suka banget review bang windah walau bukan viewers setia bang windah tapi udah review dengan baik❤,aku suka banget review bang windah walau bukan viewers setia bang windah tapi udah review dengan baik,aku suka banget review bang windah walau bukan viewers setia bang windah tapi sudah review dengan baik,suka banget review bang windah viewers setia bang windah review,suka banget review bang windah viewers setia bang windah review,"I really like the review, Bang Windah, loyal viewers, Bang Windah's review"
Big respect buat bang windah dan viewers yg udah bermain maupun review baik buat game ini ❤ sehat slalu bang,big respect buat bang windah dan viewers yg udah bermain maupun review baik buat game ini sehat slalu bang,big respect buat bang windah dan viewers yang sudah bermain maupun review baik buat game ini sehat slalu bang,big respect bang windah viewers bermain review game sehat slalu bang,big respect bang windah viewers main review game sehat slalu bang,"big respect, bro, windah viewers, always playing healthy game reviews, bro"
aku cinta Zayne bang😻,aku cinta zayne bang,aku cinta zayne bang,cinta zayne bang,cinta zayne bang,I love Zayne bro
Makasih banggg ❤❤,makasih banggg,makasih banggg,makasih banggg,makasih banggg,thanks bro
GAME BOUTY😭🗿,game bouty,game bouty,game bouty,game bouty,game bouty
"FINALLY BANG WINDAH MAININ INI GAMEEE, salut ama bang windah yg bijak😢",finally bang windah mainin ini gameee salut ama bang windah yg bijak,finally bang windah mainin ini gameee salut ama bang windah yang bijak,finally bang windah mainin gameee salut ama bang windah bijak,finally bang windah mainin gameee salut ama bang windah bijak,"finally bro windah played the game, salute bro wise bro windah"
bg aku mw cewe di komen ini satu,bg aku mw cewe di komen ini satu,bang aku mw cewe di komen ini satu,bang mw cewe komen,bang mw cewe komen,"Bro, I'm a girl commenting"
bg windah aku cowo main game ini dan sylus itu suami ku,bg windah aku cowo main game ini dan sylus itu suami ku,bang windah aku cowo main game ini dan sylus itu suami ku,bang windah cowo main game sylus suami ku,bang windah cowo main game sylus suami ku,"Bang Windah, a guy playing Sylus games with my husband"
aw hell nawh 💀,aw hell nawh,aw hell nawh,aw hell nawh,aw hell nawh,aw hell nawh
"BIG THANKS TO ABANG WINDAH, THANK YOU SO SO MUCH UDAH MAINNIN GAME INI, DAN DIDN'T GAF WITH THOSE ALL BOYS COMMENT, I APPRECIATE U BANG, SEHAT2 TRUS, LOVE YOUU🫶🫶🫶💕",big thanks to abang windah thank you so so much udah mainnin game ini dan didnt gaf with those all boys comment i appreciate u bang sehat trus love youu,big thanks to abang windah thank you so so much sudah mainnin game ini dan didnt gaf with those all boys comment i appreciate u bang sehat trus love youu,big thanks to abang windah thank you so so much mainnin game didnt gaf with those all boys comment i appreciate u bang sehat trus love youu,big thanks to abang windah thank you so so much mainnin game didnt gaf with those all boys comment i appreciate u bang sehat trus love youu,big thanks to brother windah thank you so so much mainnin game didnt gaf with those all boys comment i appreciate u bro healthy trus love youu
bang coba mainin detroit become human lagi dong,bang coba mainin detroit become human lagi dong,bang coba mainin detroit become human lagi dong,bang coba mainin detroit become human,bang coba mainin detroit become human,"Bro, try playing Detroit Become Human"
BANG MAKASIH UDAH MAININ NI GAME 🥺,bang makasih udah mainin ni game,bang makasih sudah mainin ni game,bang makasih mainin ni game,bang makasih mainin ni game,"bro, thanks for playing this game"
"Thank you bang udah streaming gamenya. Ditunggu streaming gamenya lagi, suka liat bang windah main game sambil diperhatiin story nya. Semangat terus bang🤟🏻BISA YOK BISA STORY NYA CALEB WKWKWK",thank you bang udah streaming gamenya ditunggu streaming gamenya lagi suka liat bang windah main game sambil diperhatiin story nya semangat terus bangbisa yok bisa story nya caleb wkwkwk,thank you bang sudah streaming gamenya ditunggu streaming gamenya lagi suka liat bang windah main game sambil diperhatiin story nya semangat terus bangbisa yok bisa story nya caleb tertawa,thank you bang streaming gamenya ditunggu streaming gamenya suka liat bang windah main game diperhatiin story nya semangat bangbisa yok story nya caleb tertawa,thank you bang streaming gamenya tunggu streaming gamenya suka liat bang windah main game diperhatiin story nya semangat bangbisa yok story nya caleb tertawa,"Thank you bro, stream the game, wait for the game stream, like watching it, bro, Windah, play the game, pay attention to the story, you're enthusiastic, bro, come on, Caleb's story is laughing"
Yg cewek boleh kenalan?👉👈,yg cewek boleh kenalan,yang cewek boleh kenalan,cewek kenalan,cewek kenal,girl knows
makasih udah mainin bang lanjut part 2 nya sdh aku subrek,makasih udah mainin bang lanjut part nya sdh aku subrek,makasih sudah mainin bang lanjut part nya sdh aku subrek,makasih mainin bang part nya sdh subrek,makasih mainin bang part nya sdh subrek,"Thanks for playing bro, the part has been subbed"
