teks_terjemah,Label_Asli,Prediksi_NB,Prediksi_SVM
"Right, handsome guy in the game, bro",Positive,Positive,Positive
"Thank you, bro, playing the game, I can't see your expression, bro, keep up the enthusiasm",Negative,Positive,Negative
sh youtuber sarcastically smug bng windah,Neutral,Neutral,Neutral
"Wait for the part bro, thanks for playing lads",Positive,Positive,Positive
thanks bro for playing the game,Negative,Positive,Negative
"Wow, bro, I got my card, but it's okay, thank you, bro, the respect is cool, positive",Positive,Positive,Positive
thank you for playing bro,Neutral,Neutral,Neutral
"bro, you're handsome",Positive,Positive,Positive
"bro, play Simcity until the end bro",Neutral,Neutral,Neutral
The story is really good. I hope to read the D version of the Manhwa Romance. Unfortunately my cellphone doesn't support playing this game,Negative,Positive,Negative
"Thank you, I'm proud to have played the game, I love Papa Brandoo",Positive,Positive,Positive
"Bro, I'm playing a game",Negative,Negative,Negative
"It's safe bro, live isn't like live if it's safe, that's good",Positive,Positive,Positive
"Bro, you can play, focus on playing the story, jump and jump, not an insult, don't take part in the game, jump and jump, the story is like that, like it, I like it, bro, Windah enjoys the story game, but overall this game is good, girls, right, there's nothing wrong with this game, so thankfully I had time to play, reviewing the game, big respect for you, bro.",Negative,Negative,Negative
type go to bang windah president,Neutral,Neutral,Neutral
"Bro, Windah doesn't play games",Neutral,Neutral,Neutral
o,Neutral,Neutral,Neutral
Zayne bro,Neutral,Neutral,Neutral
"I was laughing while watching Bro Windah playing Lnds, thanks bro, playing the game is healthy bro",Positive,Positive,Positive
gg trending,Neutral,Neutral,Neutral
I'm curious to watch it because,Negative,Positive,Negative
hot,Positive,Positive,Positive
bro until I fell asleep,Neutral,Neutral,Neutral
hate inspiration,Negative,Negative,Negative
"bro, play the game couplecultivation saves the world",Negative,Neutral,Negative
"Thank you, bro, for playing the game, when I was playing the riot game, I really saw that you really enjoyed playing the game",Negative,Negative,Negative
yeyyy,Neutral,Neutral,Neutral
monitor happy ciwi thank you bro windah,Positive,Positive,Positive
"It's true that men and women are protesting, that's a double standard, sir",Positive,Positive,Neutral
Thank you bro for playing the game by the way Sylus Kuu is really handsome,Positive,Positive,Positive
Anjayyy Purma Bang Windah plays this game,Negative,Neutral,Negative
"female fans, bro",Neutral,Neutral,Neutral
Bang Rafayel is a cute girlfriend,Positive,Neutral,Neutral
please continue bro,Neutral,Neutral,Neutral
donghua,Neutral,Neutral,Neutral
respect to bang windah continue,Neutral,Neutral,Neutral
salting is hilarious,Positive,Positive,Positive
game bro,Negative,Negative,Negative
"Thank you, bro, for playing the Iloyvu game, bro",Negative,Negative,Negative
"Bro, try playing My Child Lebensborn, the simple story game will make you emotional",Negative,Neutral,Negative
,Neutral,Neutral,Neutral
"This is a really sweet girl, my type just loves to laugh",Positive,Positive,Positive
No,Neutral,Neutral,Neutral
gass ​​min bggg,Neutral,Neutral,Neutral
"I'm a guy, I'm Sylus",Neutral,Neutral,Neutral
"Thank you bro, Windah played the Halang game yesterday but tried to play, we all love Yuuu",Positive,Positive,Positive
thank you so much bro Windah congratulations guys guys don't respect bro Windah prove that he's wise respect female viewers we love you bro windah neng it's really not wrong to support people,Positive,Positive,Positive
"Watch the video, Bang Windah, watch the live chat",Positive,Positive,Positive
"I like it, Sayne",Neutral,Neutral,Neutral
it's fun,Positive,Positive,Positive
the flood of male comments is drowning,Neutral,Positive,Neutral
"Thank you very much, I'm proud to play this",Positive,Positive,Positive
"When you play this game, it's time to play Roblox when it doesn't arrive",Negative,Negative,Negative
cheer up bro,Neutral,Neutral,Neutral
"I was late watching, I rewatched it by the way, thank you bro for playing the game, have a happy day o",Positive,Positive,Negative
"Thank you bro, Windah for playing the game",Negative,Positive,Negative
salting the phone face to face,Neutral,Neutral,Neutral
"OK, girl's comment",Positive,Positive,Positive
Thanks bro Windows,Positive,Positive,Positive
believe in making advance anime games,Neutral,Neutral,Neutral
thank you bro,Neutral,Neutral,Neutral
gg windah guy windah still entertain girls edit pin windah cuyyyy,Neutral,Neutral,Neutral
"finally bro, retake the video",Neutral,Neutral,Neutral
Noctis' white hair final fantasy name Ganjar,Neutral,Positive,Neutral
"Don't make a mess, Bang Windah plays",Negative,Neutral,Neutral
catheesyy kg jir,Neutral,Neutral,Neutral
sylus,Neutral,Neutral,Neutral
homiciper la bro,Neutral,Neutral,Neutral
thank you bro windahh playing the game positive review of the game respect bro windahh,Negative,Positive,Negative
part banggg,Neutral,Neutral,Neutral
thanks for playing this game,Negative,Positive,Negative
"Bro, invite Sis Agnes to see the girl's reaction. I'm really curious about the Indonesian girl watching",Negative,Positive,Negative
cheap to buy bro,Positive,Positive,Neutral
cool inspiration,Positive,Positive,Positive
finallyyyy thank you bro windah,Neutral,Neutral,Neutral
"Laughing, female viewers, Bang Windah, saw all the live chat",Positive,Positive,Positive
Play last war bro,Neutral,Neutral,Neutral
thank you bro for playing this game,Negative,Negative,Negative
"Play again, bro, when you change the skill effect, you get a Paircard Solar card, which changes the playing skill effect, bro",Neutral,Neutral,Neutral
"Bro, thank you very much for saying that yesterday, strange guys, guys hated it, so I understand, didn't you ignore it?",Negative,Negative,Negative
"If you watch the game, it's really a girl's game",Negative,Positive,Negative
"Sus video, girls, guys, if you watch it, it's up to you",Neutral,Neutral,Neutral
omg yessshhh go bang windah love zaaynee,Positive,Positive,Positive
"yeah, omg it didn't delete, thanks bro",Positive,Positive,Positive
Rafayel bro,Neutral,Neutral,Neutral
"Bro, I really like it, this review is as I expected, bro, Windah, the review isn't weird, I'm really happy to ship, Bro, Windah, Sylus Zayne, hahaha",Positive,Positive,Positive
"Bro, you don't force requests for the glass delivery game, bro. If you play, Bang Windah, it's not that hard, bro.",Negative,Neutral,Negative
I'm chewing good morning everyone,Positive,Positive,Positive
thanks bro for playing the game,Negative,Positive,Negative
Thank you bro for playing the game,Negative,Negative,Negative
jellyfish catfish sleep leee,Neutral,Neutral,Neutral
yu yu trending,Neutral,Neutral,Neutral
"understand, please explain what the story is like",Neutral,Neutral,Neutral
"I'm proud of Bng Windah, his mental strength is strong enough to withstand being insulted by people x Cwo Insikur",Positive,Positive,Positive
"Come on guys, give me trending no",Neutral,Neutral,Neutral
curious,Negative,Negative,Negative
next part bro play,Neutral,Neutral,Neutral
move like an epep,Neutral,Neutral,Neutral
Bang Windah reviews the new version of Caleb's Battle,Positive,Positive,Positive
thank you for playing the game bro windahh my favorite streamer playing my favorite game nice,Positive,Positive,Positive
"Continue, bro, enjoy the gameplay, ignoring the stupid caper words",Negative,Neutral,Negative
"Bro, pls finish",Neutral,Neutral,Neutral
"thank you bro, windah, big respect",Neutral,Neutral,Neutral
"Look at the guy's character, he's exactly like me, bro, he's really different, I'm brutally cold",Negative,Negative,Negative
"cool, I like the character's style",Positive,Positive,Positive
It's strange to play boys' games,Negative,Negative,Negative
"thank you bro, windah be happy",Positive,Positive,Positive
"If I'm not mistaken, that's the story",Neutral,Neutral,Neutral
instructor,Neutral,Neutral,Neutral
infrastructure,Neutral,Neutral,Neutral
wozzgdash bad infrastructure guy blasphemes,Negative,Neutral,Neutral
insicur,Neutral,Neutral,Neutral
"ravenncruel is important, bro",Positive,Positive,Positive
Leon is proud,Positive,Positive,Positive
insecure dude,Negative,Negative,Negative
,Neutral,Neutral,Neutral
,Neutral,Neutral,Neutral
wth bro,Neutral,Neutral,Neutral
laugh,Positive,Positive,Positive
engineer,Neutral,Neutral,Neutral
insotoro,Neutral,Neutral,Neutral
"PP, you're a comic, bro",Positive,Positive,Positive
Uchiha windah,Neutral,Neutral,Neutral
engineer,Neutral,Neutral,Neutral
Insecure is a guy who wears a cool cover,Negative,Negative,Negative
I'm handsome,Positive,Positive,Positive
ballzoyy if you comment back,Neutral,Neutral,Neutral
ballzoyy looks so handsome little you,Positive,Positive,Positive
"It's cool, if YouTubers attack fries, hopefully they will always be patient and steadfast",Positive,Positive,Positive
test,Neutral,Neutral,Neutral
"Hey hey, guys, reading the comments, I said it's better to teach games so I can treat girls, okay?",Positive,Positive,Positive
"I really like the review, Bang Windah, loyal viewers, Bang Windah's review",Positive,Positive,Positive
"big respect, bro, windah viewers, always playing healthy game reviews, bro",Positive,Positive,Positive
I love Zayne bro,Positive,Positive,Positive
thanks bro,Positive,Positive,Positive
game bouty,Negative,Negative,Negative
"finally bro windah played the game, salute bro wise bro windah",Positive,Positive,Positive
"Bro, I'm a girl commenting",Neutral,Neutral,Neutral
"Bang Windah, a guy playing Sylus games with my husband",Neutral,Neutral,Neutral
aw hell nawh,Neutral,Neutral,Neutral
big thanks to brother windah thank you so so much mainnin game didnt gaf with those all boys comment i appreciate u bro healthy trus love youu,Positive,Positive,Positive
"Bro, try playing Detroit Become Human",Neutral,Neutral,Neutral
"bro, thanks for playing this game",Negative,Positive,Negative
"Thank you bro, stream the game, wait for the game stream, like watching it, bro, Windah, play the game, pay attention to the story, you're enthusiastic, bro, come on, Caleb's story is laughing",Negative,Neutral,Negative
girl knows,Neutral,Neutral,Neutral
"Thanks for playing bro, the part has been subbed",Positive,Positive,Positive
"The game is good, the story is male",Positive,Positive,Positive
The female commenter laughed,Positive,Positive,Positive
"the game world is used as a reference for rl, it's interesting, the game world, the characters have developed perfectly, teach yourself if you treat the game world, please wake up, humans are not perfect, humans are the nature of redflag",Negative,Positive,Negative
Hanx get straight to the point bro,Positive,Neutral,Neutral
"lh boty even though it's a game for girls, guys, it's for girls' fanservice",Negative,Negative,Negative
"If you play a girl, it's not strange if you play a strange boy, Yoshitoyuji",Negative,Negative,Negative
that's great,Positive,Positive,Positive
laugh,Positive,Positive,Positive
bro,Neutral,Neutral,Neutral
pin anjir,Neutral,Neutral,Neutral
,Neutral,Neutral,Neutral
What is Wanjay doing at dawn gin?,Neutral,Neutral,Neutral
,Neutral,Neutral,Neutral
trash game,Negative,Negative,Negative
thanks bro like the game love you,Positive,Positive,Positive
sorry bro I'm late,Negative,Negative,Negative
bro stay but thank u for playing this game big respect for u bro windah always be happy and healthy bro,Positive,Positive,Positive
what an ego bro,Neutral,Neutral,Neutral
"Thanks bro, Brandoo, I've played it and I've laughed a few times, thank you so much",Positive,Positive,Positive
"yeah, I'm late, I went to sleep and didn't wake up",Negative,Neutral,Negative
p,Neutral,Neutral,Neutral
"Thank you bro, Windah, playing the game, Windah, playing the game, don't know, Windah's game is playing well, bro, in terms of romance, battle fight, it's also okay",Negative,Positive,Negative
Neng is very peaceful,Positive,Positive,Positive
"The game isn't fun, bro",Negative,Positive,Negative
windah a few seconds handsome no homo ya gwevelyn mean,Negative,Negative,Negative
aaaaa thank you bro Windah for playing the game so I'm happy because yesterday I hope bro Windah played the game Lope Kebon Tree,Neutral,Positive,Negative
"bro, keep going",Neutral,Neutral,Neutral
yeyyyy,Neutral,Neutral,Neutral
no bro,Neutral,Neutral,Neutral
downfall of the trending era,Neutral,Neutral,Neutral
greatpppppp,Neutral,Neutral,Neutral
the battle is hard bro by the way zayne really is a man with facial features hahaha play immediately fall in love zayne caleb appears immediately shaking and laughing no matter how loyal zayne is to his infinity,Positive,Positive,Positive
"bro, play until dawn",Neutral,Neutral,Neutral
rich,Positive,Neutral,Neutral
pntzyxyy you're cool,Positive,Positive,Positive
chandramahudi is cool bet guwej,Positive,Positive,Positive
Your bastard is really cool,Positive,Positive,Positive
,Neutral,Neutral,Neutral
you,Neutral,Neutral,Neutral
"I hope bro, my crazy comments are really cool",Negative,Positive,Negative
"Suki, when I typed my crazy comments, was really cool",Negative,Negative,Negative
haha,Positive,Positive,Positive
"I laughed, I got social assistance capital",Positive,Positive,Positive
by the way thank you play the game brogg aksaokwao love bro windah coal rispekk really alapyu kebon bro,Positive,Positive,Positive
"Bro, I recommend the game Crazy Ones or the game Five Hearts",Negative,Negative,Negative
"Thank you bro, it's really nice bro, Windah to play",Positive,Positive,Positive
stop yapping wow evelyn,Positive,Positive,Positive
I'm sorry I'm late coyyy,Negative,Negative,Negative
"Bng, your muke is not related to the game feature, game player with male fans, dancing, saying something wrong, lost your channel, bro",Negative,Negative,Negative
girls in capers cuhhh,Neutral,Neutral,Neutral
"Well, the yapping simulator game, bro, has a lot of fighting, the rest is yapping",Negative,Positive,Negative
"I watched a lot of live chat, all the female viewers laughed",Positive,Positive,Positive
"Thank you bro, playing this game is healthy bro",Positive,Positive,Positive
Watch the girl likes games,Neutral,Neutral,Neutral
there's nothing wrong with this game,Negative,Negative,Negative
"aaaaaa thank you really bro, windahhhh play the game",Negative,Positive,Negative
There are lots of comments from girls,Neutral,Positive,Neutral
"Keep it up bro, I'm enjoying it",Positive,Positive,Positive
smooth editing,Positive,Positive,Neutral
"really cool gameplay, pc game, darling, otome game mc version, boy npc girl, I downloaded it",Negative,Negative,Negative
,Neutral,Neutral,Neutral
"Thank you, bro, good luck",Positive,Positive,Positive
five hearts is already playing,Neutral,Neutral,Neutral
"I said that, bro",Neutral,Neutral,Neutral
envy ryottaad,Neutral,Neutral,Neutral
ky Suki Suki guy,Neutral,Neutral,Neutral
"It's a dating sim, a boyfriend simulation",Neutral,Neutral,Neutral
otome games,Neutral,Neutral,Neutral
do you understand otome?,Neutral,Neutral,Neutral
"Yes, Suki's hilarious boyfriend simulation game",Positive,Neutral,Negative
I already know rpgotome is stupid,Negative,Negative,Negative
it's genuine bro,Positive,Positive,Positive
love windows bro,Positive,Positive,Positive
"Yes, if that's the case, otome galge",Neutral,Neutral,Neutral
draceempressa galge male players approach girls game,Negative,Negative,Negative
bang doujin bang meaning of doujin,Neutral,Neutral,Neutral
gurlsss,Neutral,Neutral,Neutral
jellyfish catfish playin leee,Neutral,Neutral,Neutral
Yeayyy finally,Neutral,Neutral,Neutral
"Thank you bro, Windah, let me review the game",Negative,Neutral,Negative
"oh no, just join the live chat",Positive,Positive,Positive
"bro, it's a game specifically for girls, bro, it's a game for girls, guys, bro, there's nothing wrong with the game, it's a good game, it's wrong to play it, bro, the guy is the MC, the girl plays with the guy, the boss will say guys don't play the game, the game is a girl's game, bro, I support it if you play the girl's streamer game, that makes sense.",Negative,Negative,Negative
I'm handsome,Positive,Positive,Positive
"I really like the reaction, Bang Windah, playing healthy and healthy, Bang Windah, success",Positive,Positive,Positive
"Bro, great outfit, choose a bjir towel",Positive,Positive,Neutral
next request play the game bro knowledge or know lady thx,Negative,Negative,Negative
thanks bro windahh,Positive,Positive,Positive
"Thank you, bro, I'm determined to play the game",Negative,Positive,Negative
Thank God,Neutral,Neutral,Neutral
"I'm a girl, I don't like games, my laugh is old, it's realistic, yes, look at the male characters, it doesn't bring any emotional fantasy, the gameplay is good, I watch it, but I'm handsome, my husband is in the real world, a conscious fantasy, but my husband is handsome, I laugh",Positive,Positive,Positive
Bocil finished watching,Neutral,Neutral,Neutral
we love you bro winduddd,Positive,Positive,Positive
thx u so much bro we are proud of u u really a kind and mature man,Positive,Positive,Positive
"The market is a girl if you say come on, let's fix it, mentally check it out",Negative,Neutral,Neutral
"gg bro, I haven't framed it yet",Neutral,Neutral,Neutral
it's strange to play a guy,Negative,Negative,Negative
"veeee, if guys play strange games, build relationships, romance characters, boys, girls, otome games, games specifically for girls",Negative,Negative,Negative
playing boy girl bro windah,Neutral,Neutral,Neutral
,Neutral,Neutral,Neutral
jetz d,Neutral,Neutral,Neutral
jetz,Neutral,Neutral,Neutral
ugh,Neutral,Neutral,Neutral
I'm handsome,Positive,Positive,Positive
"yes, hand over the fern",Neutral,Neutral,Neutral
climb,Neutral,Neutral,Neutral
"If you have a million characters, it's just a big loss",Neutral,Neutral,Neutral
"It's really exciting, bro, I actually laughed out loud seeing Bang Windah's expression when he was confused",Positive,Positive,Positive
keep your spirits up and look beautiful,Positive,Positive,Positive
"Bro, I'm also curious about watching After Work Playing Lads",Negative,Negative,Neutral
"bro, try playing man eater",Neutral,Neutral,Neutral
it's my husband,Neutral,Neutral,Neutral
I didn't expect that the RPG would only have a cool story,Positive,Positive,Positive
"bro, if you look at the battle effect, collect memories pair, don't try the abyssal chaos trial",Neutral,Neutral,Neutral
continue,Neutral,Neutral,Neutral
"Thank you, Josep",Neutral,Neutral,Neutral
Continue the game Tobrut Bang Heart in a Roof,Negative,Negative,Negative
"Thank you bro, Windahh",Neutral,Neutral,Neutral
"the battle is just right and it's hard to build a full one, demiiii",Positive,Positive,Positive
"Thank you, bro, for accompanying me to eat, see Caleb, bro",Neutral,Neutral,Neutral
"What a joke, this tantrum is the spirit of Windah's father, Big Respect, Windah's father, Coal",Neutral,Neutral,Neutral
"the screenshots are so funny, they're so sylus, bro windowsssss",Positive,Positive,Positive
it's dirty,Negative,Neutral,Neutral
Zayne bro,Neutral,Neutral,Neutral
"It's different between girls, boys and girls who are minimally perverted, but guys who are perverted",Negative,Negative,Negative
boys teach boys to love and deepspace so it's romanticsssssssssss okay okay okay,Positive,Positive,Positive
share,Neutral,Neutral,Neutral
let's go and play,Neutral,Neutral,Neutral
ryhan envy ryhanganteng,Neutral,Neutral,Neutral
otome games,Neutral,Neutral,Neutral
I'm jealous of playing on a potato phone,Neutral,Neutral,Neutral
normal male mochaners play games,Positive,Neutral,Neutral
boy watching eating v,Neutral,Neutral,Neutral
girl's comment,Neutral,Neutral,Neutral
"Just live, thanks bro, Windah, for playing this game, big respect, huhu",Negative,Positive,Negative
wowowow thanks bro,Positive,Positive,Positive
I hope the game was as normal as it was yesterday,Negative,Negative,Negative
thanks bro windah,Positive,Positive,Positive
"Thank you, bro, Windah for playing the game, I'm watching snacks, thank you, bro, Windah, for playing",Negative,Neutral,Negative
aaaaaa njir,Neutral,Neutral,Neutral
"Thank you for listening, please enter the player at the front of the channel",Neutral,Neutral,Neutral
"Bro, the video just looks at your expression",Neutral,Neutral,Neutral
Thank you bro for playing the game,Negative,Negative,Negative
"bro, play airstrike in the game legend gamehouse for your kids",Negative,Positive,Negative
"There's nothing wrong with an RPG game that has action, the graphics are cool, it's like that if a guy plays it",Negative,Positive,Positive
"Thank you bro, the streaming was really fun",Positive,Positive,Positive
bro play infinity nikki please,Neutral,Neutral,Neutral
,Neutral,Neutral,Neutral
positive masculinity respect,Positive,Positive,Positive
Bro next request Hakuoki laughed,Positive,Positive,Positive
gs bro,Neutral,Neutral,Neutral
"Please fill in the comments, bro, Windah, cwk, cwk",Neutral,Neutral,Neutral
It's a problem if you play strange boys' games,Negative,Negative,Negative
"Because of the toxic little viewers, did Windah ban him or not",Negative,Negative,Negative
"It's really exciting to watch, bro, Windah",Positive,Positive,Positive
"Bang Windah, thank you for providing food for playing homicipher games despite all the hate speeches and threats, healthy and healthy, bro",Positive,Positive,Positive
"great bro, wait for the otome games, there are lots of good ones hehe by the way after a million buys the features are really really good, your effort is really good",Positive,Positive,Positive
love brandoo no matter what happened,Positive,Positive,Positive
"Bro, I'm a guy, I like Sylus",Neutral,Neutral,Neutral
pls syluss me,Neutral,Neutral,Neutral
thankssss bro windahh,Neutral,Neutral,Neutral
good game visuals final fantasy takken ovt,Positive,Positive,Positive
thank uu bro windah for playing this game,Negative,Negative,Negative
I think the gameplay is poor,Negative,Positive,Negative
"I'm proud, the game is really epic, I like the graphic features",Positive,Positive,Positive
play x games,Neutral,Neutral,Neutral
"I play the game, it's really fun, no playstore, so play the game, bro, I love you",Neutral,Positive,Negative
Bang Windah main spec ops the line,Positive,Positive,Positive
aaaaa tinggal live bang live lg gakkkkk,Positive,Positive,Positive
"thanks for the review, bro, respect",Positive,Positive,Positive
I'm so excited aaaa,Positive,Positive,Positive
Thank you bro for playing the game,Negative,Negative,Negative
"Bro, Windah, play loads",Neutral,Neutral,Neutral
thanks for playing,Positive,Positive,Positive
Thank you bro for giving a positive response,Positive,Positive,Positive
Handsome,Positive,Positive,Positive
"Be enthusiastic, don't listen to the capeers you're watching, bro",Positive,Positive,Neutral
"bro, you don't want the fear and hunger game, bro, come on, bro",Negative,Neutral,Negative
crazy comments full of women,Negative,Negative,Negative
"Big thanks, bro, handsome Windah, you played this really emotional game",Positive,Positive,Positive
"Caleb ended up exploding, then thought he was a sweet potato when he exploded, but Colonel made a comeback",Positive,Positive,Positive
"Gaje game isn't fun, taste in games, damn bro, absurd games",Negative,Neutral,Negative
thanks bro,Positive,Positive,Positive
wait for the part,Neutral,Neutral,Neutral
great bro,Positive,Positive,Positive
oh how handsome,Positive,Positive,Positive
It's really amusing to read the guy's crazy comments in the game,Negative,Negative,Negative
So obey the girl viewers,Neutral,Neutral,Neutral
really handsome,Positive,Positive,Positive
"Bro, Windah, healthy and healthy",Positive,Positive,Positive
Am I a guy watching or not?,Neutral,Neutral,Neutral
"waaaaaaaaa, that's really great for playing this",Positive,Positive,Positive
"From your info, how old is Xavier?",Positive,Positive,Neutral
closing song,Neutral,Neutral,Neutral
I hope Bro Windah doesn't play games anymore,Neutral,Neutral,Neutral
"ryhanganteng doesn't have to be like that, I'm a fine, fine guy, bro, Windah main",Positive,Positive,Positive
"Yes, your taste is simple",Neutral,Neutral,Neutral
"So, this haluu game makes girls really goosebumps",Negative,Positive,Negative
boyfriend simulation game from a girl's perspective on choosing a guy explained by gin,Negative,Negative,Negative
This haluu game makes girls go crazy,Negative,Negative,Negative
haluuuu ryhanganteng guy,Neutral,Neutral,Neutral
"The target market is you guys, otome games, fan service games, big breasted naked girls, don't you brag about it?",Neutral,Neutral,Neutral
"Girls and boys have different tastes, girls like romantic games, boys like RPG games",Neutral,Neutral,Neutral
hello then it's just a game character,Negative,Neutral,Negative
hope for peace,Neutral,Neutral,Neutral
draceempressa hmm,Neutral,Neutral,Neutral
"thanks bro, you really have a lot of respect for breaking up, still playing the game, it's a game conflict, bro, windah, keep playing games, guys, bro, windah, gamers don't judge games, play the wrong gamers' names, proud of you, bro, windah, success",Positive,Positive,Positive
busettt comments full of girls,Positive,Positive,Positive
the battle is great,Positive,Positive,Positive
it's not a part,Neutral,Neutral,Neutral
"bro, if you use caleb, take a photo with caleb, the main story, the story is yellow, the name of caleb's homeback wings story, if you play caleb, use respect",Positive,Neutral,Neutral
Thanks bro for reviewing this game,Negative,Negative,Negative
"I support you, what do you play, bro, I want you to prepare and mateng if you play the game, you hate it, Bro, the fans of the game are men who act masculine",Negative,Negative,Negative
I love Windah a lot because I played my girl's favorite game,Positive,Positive,Positive
,Neutral,Neutral,Neutral
"Bro Windah, thank youuuu",Neutral,Neutral,Neutral
hello bro windahhh,Neutral,Neutral,Neutral
bro playing crazy guys,Negative,Negative,Negative
the game shows the leak of the year you worked,Negative,Negative,Negative
what a girl's comment,Neutral,Neutral,Neutral
"Thank you so much, proud Windah, it's really exciting",Positive,Positive,Positive
Bused clock hahaha,Positive,Positive,Positive
How scary is Brando's guts to not be afraid of roasting his haters for playing a controversial game,Negative,Negative,Negative
"Thank you, Bro Windah, dear Bro Windah",Neutral,Neutral,Neutral
"Thank you bro, Windah for watching the game",Negative,Neutral,Negative
I'm laughing at your expression,Neutral,Neutral,Neutral
cool nanda,Positive,Positive,Positive
"Indriaulia bjir, why are you here?",Neutral,Neutral,Neutral
"where's the joke, it's hilarious, millions after the stingy game, where does the game get the money from?",Negative,Positive,Negative
"The work of female players is a lot of work, bro",Neutral,Neutral,Neutral
I think I'm doing a great job,Positive,Positive,Positive
"Continue, proud to make a part",Positive,Positive,Positive
Thank you bro Windah,Neutral,Neutral,Neutral
"keep your spirits up, I'm proud to know that your intention is to entertain and netizens really like to troll others, hope your brain will think, watch this video",Positive,Positive,Positive
"Dear bro, Windah, by the way, viewers follow me when I follow, lads, I really respect you, bro, Windah, I'm cool",Positive,Positive,Positive
yep,Neutral,Neutral,Neutral
good luck boss,Positive,Positive,Positive
"Bro, try borrowing a review account",Neutral,Neutral,Neutral
"Bro, I like Zayne, all in Zayne, soft boy, great gentleman of the world",Positive,Positive,Positive
"It's okay bro, Windah, I support you",Positive,Positive,Positive
"Thank you, bro, for playing the game",Negative,Negative,Negative
I really feel sorry for Bang Windah's message,Negative,Positive,Positive
"Bro, Aylovyu, really support me for a long time, Saranheok",Positive,Positive,Positive
"Ouch, Caleb's a little shaky",Negative,Negative,Negative
"Thank you bro, enjoy playing, bro, thank you very much for playing",Positive,Positive,Neutral
"I'm proud to miss you, bro",Positive,Positive,Positive
"gg bro Windah, please comment, thank you bro Windah for playing the game",Negative,Neutral,Negative
next play the dating game crazy one,Negative,Negative,Negative
"bro, honestly, it's really fun, thank you, bro, play the Sunday req game, honestly, it's really cool, sii gg, Caleb's story will be tomorrow, bro, don't forget to keep gacha, ehehe, you know you got a star, so excited, bro",Positive,Positive,Positive
efootball bro,Neutral,Neutral,Neutral
YouTubers have a crush on Zayne,Neutral,Neutral,Neutral
stujuuu,Neutral,Neutral,Neutral
fyi the title is love and deep space but love and depression,Positive,Positive,Positive
"Bro, continue playing, bro, drag and harvest, bro",Negative,Neutral,Neutral
"Bro, Windah, thank you very much for playing this game, bro, you know, I'm not really excited, pls, I didn't expect it, thank you very much, really",Negative,Positive,Positive
"gin bang, play, just play snacks, listen to what you guys say to fomo, and your loyal viewers support you, basically focus on entertaining",Positive,Positive,Positive
thank you girls by the way play romantic horror game handsome ghost game title homicipher link video gurls next try caleb's story guys let's join discord rame indonesia looking for friends festival motionime fest coming soon,Negative,Negative,Negative
Continue leeeee thanks bro Windahhh,Positive,Positive,Positive
"I'm not sure if it's a perverted game, the response from people is that it's really good, the game is fun to play",Negative,Positive,Negative
"Thank you bro, Windahh, playing the game, I'm proud to entertain everyone",Positive,Positive,Positive
Thank you bro Windah,Neutral,Neutral,Neutral
Evelyn's name is proud,Positive,Positive,Positive
play simulator games bro,Neutral,Neutral,Neutral
"aaaa, thank you bro, you're healthy",Positive,Positive,Positive
"Keep up the enthusiasm, Lanang Gasuka fans",Neutral,Neutral,Neutral
really funny ancrittt expression bro windows awoakwoakwoak grinning luh bwangg,Positive,Positive,Positive
"bro, try playing the game evil within, it's like the fun last of us, it's a good game",Negative,Positive,Negative
"This game is like the developer's infinity game, it's fun to download",Negative,Negative,Negative
"it's fun, I like it",Positive,Positive,Positive
cheer up bro,Neutral,Neutral,Neutral
"Sagne, look at the male character, bro",Neutral,Neutral,Neutral
cute windy downfall,Positive,Neutral,Neutral
yesterday the banner protest was not there,Neutral,Negative,Neutral
love you bro windah main,Positive,Positive,Positive
Proud to continue Fear and Hunger bro,Positive,Positive,Positive
febrianputratriatama handsome febri,Positive,Positive,Positive
gg bro bocil sylus sorry spam sylus hehe thank you bro brando,Negative,Neutral,Neutral
lopyuuu bro windahh,Neutral,Neutral,Neutral
"thanks bro, for the review of the game I like, stay healthy, bro",Positive,Positive,Positive
no papa windah,Neutral,Neutral,Neutral
"Respect, thanks bro, Windah for playing",Positive,Positive,Positive
"really lopee, bro, beautiful",Positive,Positive,Positive
"bro, isn't it dragging?",Neutral,Neutral,Neutral
cool bro little boy rafayel,Positive,Positive,Positive
bro homichiper,Neutral,Neutral,Neutral
Gas playing games again bro,Neutral,Neutral,Neutral
proud to play the game homichiperrr plssss check it out banh sereettt,Positive,Positive,Positive
"Wow, just keep talking homichiper",Positive,Positive,Positive
gg bang bang rafayel caleb,Neutral,Neutral,Neutral
gg by the way bocil sylus bro,Neutral,Neutral,Neutral
gg bro little boy caleb,Negative,Neutral,Negative
"new account omg what a kid, Caleb you are such a cutie person",Positive,Positive,Positive
witch cry when bro,Neutral,Neutral,Neutral
windahbasudara thank you bro,Neutral,Neutral,Neutral
"Febrianputratriatama, yes, bro, he's really cute",Positive,Positive,Positive
"Bro, if you're looking for a cozy open world game like Genshin, try playing Infinity Nikki, don't force it",Negative,Neutral,Negative
gg bro little boy rafayel,Negative,Neutral,Negative
nice,Positive,Positive,Positive
Bang Windah main Moonlight Crush Indonesian language game story boyfriend,Negative,Negative,Negative
"Tengkiyu has given the spoiler bro, thinking about playing the game",Negative,Negative,Negative
"bro, please play the fear and hunger game, bro, kid, fear and hunger",Negative,Positive,Negative
"bro, wait for the caleb atory",Neutral,Neutral,Neutral
